Date,Open,High,Low,Close,Adj Close,Volume
2009-09-01,46.320000,48.060001,45.119999,47.220001,26.104191,55935266
2009-10-01,47.189999,48.930000,45.990002,47.459999,26.236868,62539167
2009-11-01,47.610001,50.490002,47.040001,50.040001,27.663147,55320966
2009-12-01,50.099998,53.820000,50.099998,51.630001,28.968390,51270730
2010-01-01,51.630001,51.869999,49.439999,49.590000,27.823805,55484265
2010-02-01,49.680000,50.580002,48.060001,49.049999,27.520811,53459167
2010-03-01,49.230000,50.279999,48.689999,48.959999,27.874290,46916369
2010-04-01,49.139999,50.700001,47.820000,50.340000,28.659973,72257901
2010-05-01,50.549999,51.419998,46.410000,47.880001,27.259424,78633836
2010-06-01,47.549999,50.250000,46.709999,48.000000,27.720470,56341468
2010-07-01,48.209999,52.290001,47.610001,51.299999,29.626266,59431801
2010-08-01,51.720001,53.400002,50.279999,51.540001,29.764853,65921600
2010-09-01,51.990002,54.240002,51.599998,53.130001,31.114025,47276133
2010-10-01,53.549999,54.959999,52.529999,54.630001,31.992456,56785332
2010-11-01,54.869999,55.799999,52.049999,52.650002,30.832920,42599100
2010-12-01,53.099998,53.700001,51.570000,53.430000,31.711260,40549000
2011-01-01,53.759998,54.779999,52.080002,53.639999,31.835897,66864199
2011-02-01,53.939999,54.810001,52.770000,53.970001,32.031757,72342369
2011-03-01,53.849998,55.439999,52.290001,54.450001,32.759335,72630099
2011-04-01,54.570000,56.160000,53.849998,55.950001,33.661793,48867401
2011-05-01,56.070000,58.500000,55.500000,56.250000,33.842285,60982166
2011-06-01,56.250000,56.759998,54.840000,56.490002,34.419579,54643335
2011-07-01,56.400002,57.689999,55.290001,55.799999,33.999157,66195267
2011-08-01,56.490002,56.880001,50.610001,56.730000,34.565811,122988701
2011-09-01,56.790001,60.630001,54.990002,59.970001,37.058701,93764533
2011-10-01,60.270000,62.189999,57.509998,61.259998,37.855850,88078334
2011-11-01,60.540001,63.060001,58.740002,62.549999,38.653004,117492533
2011-12-01,62.279999,66.360001,61.349998,66.000000,41.284039,73608966
2012-01-01,66.330002,66.330002,62.610001,63.930000,39.989216,66802167
2012-02-01,64.080002,64.830002,62.400002,62.759998,39.257362,95219700
2012-03-01,62.730000,64.440002,62.009998,63.029999,39.890095,63540631
2012-04-01,63.000000,64.500000,60.570000,64.290001,40.687515,93107868
2012-05-01,64.230003,66.269997,63.840000,65.940002,41.731758,112171398
2012-06-01,65.610001,70.199997,65.550003,69.180000,44.293026,113999599
2012-07-01,70.349998,71.129997,64.519997,67.779999,43.396671,129111133
2012-08-01,67.970001,69.169998,64.580002,64.779999,41.475895,99305900
2012-09-01,64.699997,65.209999,63.029999,64.790001,41.952881,70391600
2012-10-01,65.010002,65.900002,63.880001,65.690002,42.535652,55104400
2012-11-01,65.639999,65.860001,59.630001,63.820000,41.324791,98516900
2012-12-01,64.089996,65.660004,62.599998,63.799999,41.827854,68570400
2013-01-01,64.559998,68.919998,64.440002,68.739998,45.066574,55455100
2013-02-01,68.970001,70.300003,67.779999,69.250000,45.400928,70846100
2013-03-01,68.410004,72.680000,68.050003,72.589996,48.120319,47203900
2013-04-01,72.559998,75.419998,71.250000,75.199997,49.850510,52934000
2013-05-01,75.000000,75.459999,66.169998,66.930000,44.368286,86749700
2013-06-01,66.959999,68.959999,64.620003,67.500000,45.226128,65130300
2013-07-01,67.900002,71.910004,66.500000,71.000000,47.571201,52162000
2013-08-01,71.330002,72.010002,65.330002,65.599998,43.953102,74398200
2013-09-01,65.889999,68.639999,64.160004,66.779999,45.242004,56848600
2013-10-01,67.449997,73.059998,66.050003,71.730003,48.595535,58630600
